run_id,method,regime,seed,node_id,device_type,model_rate,client_model_rate,eval_r2,num_examples
qxlnfxpu,FedRolex,iid,1337,8307207962234214304,rpi4,0.125,0.125,0.35213460328293267,206
qxlnfxpu,FedRolex,iid,1337,1479090542817698672,rpi4,0.125,0.125,0.31204527603070764,207
qxlnfxpu,FedRolex,iid,1337,8389617384620187834,rpi4,0.125,0.25,0.2823731483085751,207
qxlnfxpu,FedRolex,iid,1337,6461691723196505333,rpi4,0.125,0.125,0.3190435520889231,206
qxlnfxpu,FedRolex,iid,1337,634290718570358062,rpi4,0.125,0.125,0.31270208980551795,207
qxlnfxpu,FedRolex,iid,1337,9225504568029699488,rpi4,0.125,0.25,0.36720551941908564,207
qxlnfxpu,FedRolex,iid,1337,4712956949897801561,rpi5,0.5,0.5,0.6825968644067862,206
qxlnfxpu,FedRolex,iid,1337,4426707768734690464,rpi5,0.5,0.5,0.6700795434845377,206
qxlnfxpu,FedRolex,iid,1337,14727399710503074402,rpi5,0.5,1.0,0.6721041081414183,206
qxlnfxpu,FedRolex,iid,1337,12552615541582918115,rpi5,0.5,1.0,0.6181435443595391,206
qxlnfxpu,FedRolex,iid,1337,1476246369391640779,rpi5,0.5,0.5,0.5950317280116857,206
qxlnfxpu,FedRolex,iid,1337,1569831328897619931,rpi5,0.5,0.5,0.6255504426362095,206
qxlnfxpu,FedRolex,iid,1337,11570147638579573881,rpi5,0.5,1.0,0.6789796561557848,206
qxlnfxpu,FedRolex,iid,1337,11291137218676695951,rpi5,0.5,1.0,0.5281340221608941,206
qxlnfxpu,FedRolex,iid,1337,1750324167379625933,rpi5,0.5,0.5,0.6986124150808659,206
qxlnfxpu,FedRolex,iid,1337,11476050192558106647,rpi5,0.5,1.0,0.6330352299742221,206
qxlnfxpu,FedRolex,iid,1337,8307207962234214304,rpi4,0.5,0.125,0.6933703670999808,206
qxlnfxpu,FedRolex,iid,1337,6461691723196505333,rpi4,0.5,0.125,0.6032668835471366,206
qxlnfxpu,FedRolex,iid,1337,10893439222041456505,rpi4,0.5,0.25,0.6696299924468153,207
qxlnfxpu,FedRolex,iid,1337,10540470563812154262,rpi4,0.5,0.25,0.6161139456737774,207
qxlnfxpu,FedRolex,iid,1337,4868792756367052665,rpi4,0.5,0.125,0.7056699923226388,207
qxlnfxpu,FedRolex,iid,1337,634290718570358062,rpi4,0.5,0.125,0.6390859038181904,207
qxlnfxpu,FedRolex,iid,1337,1479090542817698672,rpi4,0.5,0.125,0.5706589383245884,207
qxlnfxpu,FedRolex,iid,1337,8389617384620187834,rpi4,0.5,0.25,0.6185874161560982,207
qxlnfxpu,FedRolex,iid,1337,11435327119724091724,rpi4,0.5,0.25,0.6610619164516859,207
qxlnfxpu,FedRolex,iid,1337,9225504568029699488,rpi4,0.5,0.25,0.6672297309669767,207
qxlnfxpu,FedRolex,iid,1337,1476246369391640779,rpi5,1.0,0.5,0.6497832399812927,206
qxlnfxpu,FedRolex,iid,1337,14727399710503074402,rpi5,1.0,1.0,0.7100241074435548,206
qxlnfxpu,FedRolex,iid,1337,11476050192558106647,rpi5,1.0,1.0,0.6736369484289201,206
qxlnfxpu,FedRolex,iid,1337,4426707768734690464,rpi5,1.0,0.5,0.7023416021358524,206
qxlnfxpu,FedRolex,iid,1337,11570147638579573881,rpi5,1.0,1.0,0.7294164979083033,206
qxlnfxpu,FedRolex,iid,1337,1569831328897619931,rpi5,1.0,0.5,0.6640281238239032,206
qxlnfxpu,FedRolex,iid,1337,12552615541582918115,rpi5,1.0,1.0,0.6380339639634506,206
qxlnfxpu,FedRolex,iid,1337,11291137218676695951,rpi5,1.0,1.0,0.5503060969515242,206
qxlnfxpu,FedRolex,iid,1337,4712956949897801561,rpi5,1.0,0.5,0.7159820512082915,206
qxlnfxpu,FedRolex,iid,1337,1750324167379625933,rpi5,1.0,0.5,0.7415251815682271,206
qxlnfxpu,FedRolex,iid,1337,8389617384620187834,rpi4,1.0,0.25,0.6769790797527511,207
qxlnfxpu,FedRolex,iid,1337,634290718570358062,rpi4,1.0,0.125,0.6900875545554568,207
qxlnfxpu,FedRolex,iid,1337,6461691723196505333,rpi4,1.0,0.125,0.6558668038635388,206
qxlnfxpu,FedRolex,iid,1337,10893439222041456505,rpi4,1.0,0.25,0.7101730619214807,207
qxlnfxpu,FedRolex,iid,1337,1479090542817698672,rpi4,1.0,0.125,0.6147863178479827,207
qxlnfxpu,FedRolex,iid,1337,10540470563812154262,rpi4,1.0,0.25,0.6025725836561611,207
qxlnfxpu,FedRolex,iid,1337,4868792756367052665,rpi4,1.0,0.125,0.7225285830136434,207
qxlnfxpu,FedRolex,iid,1337,11435327119724091724,rpi4,1.0,0.25,0.6958578654881429,207
qxlnfxpu,FedRolex,iid,1337,8307207962234214304,rpi4,1.0,0.125,0.7097295663300107,206
qxlnfxpu,FedRolex,iid,1337,9225504568029699488,rpi4,1.0,0.25,0.6757745762470473,207
qxlnfxpu,FedRolex,iid,1337,4426707768734690464,rpi5,0.25,0.5,0.6104315950537866,206
qxlnfxpu,FedRolex,iid,1337,1569831328897619931,rpi5,0.25,0.5,0.5614683438757682,206
qxlnfxpu,FedRolex,iid,1337,14727399710503074402,rpi5,0.25,1.0,0.6202477913712301,206
qxlnfxpu,FedRolex,iid,1337,1476246369391640779,rpi5,0.25,0.5,0.544399098730182,206
qxlnfxpu,FedRolex,iid,1337,11570147638579573881,rpi5,0.25,1.0,0.6095552857345722,206
qxlnfxpu,FedRolex,iid,1337,11476050192558106647,rpi5,0.25,1.0,0.5836663930512087,206
qxlnfxpu,FedRolex,iid,1337,4712956949897801561,rpi5,0.25,0.5,0.6277709136149987,206
qxlnfxpu,FedRolex,iid,1337,1750324167379625933,rpi5,0.25,0.5,0.6226080690733824,206
qxlnfxpu,FedRolex,iid,1337,12552615541582918115,rpi5,0.25,1.0,0.5770926043187754,206
qxlnfxpu,FedRolex,iid,1337,11291137218676695951,rpi5,0.25,1.0,0.47054999570278555,206
qxlnfxpu,FedRolex,iid,1337,8307207962234214304,rpi4,0.25,0.125,0.6350434525685112,206
qxlnfxpu,FedRolex,iid,1337,634290718570358062,rpi4,0.25,0.125,0.5800021750511006,207
qxlnfxpu,FedRolex,iid,1337,11435327119724091724,rpi4,0.25,0.25,0.6132760561597637,207
qxlnfxpu,FedRolex,iid,1337,10893439222041456505,rpi4,0.25,0.25,0.6247610432962953,207
qxlnfxpu,FedRolex,iid,1337,10540470563812154262,rpi4,0.25,0.25,0.5703921413145686,207
qxlnfxpu,FedRolex,iid,1337,8389617384620187834,rpi4,0.25,0.25,0.5463153107258104,207
qxlnfxpu,FedRolex,iid,1337,1479090542817698672,rpi4,0.25,0.125,0.5293219267187843,207
qxlnfxpu,FedRolex,iid,1337,6461691723196505333,rpi4,0.25,0.125,0.5490818930720978,206
qxlnfxpu,FedRolex,iid,1337,4868792756367052665,rpi4,0.25,0.125,0.6552872347513741,207
qxlnfxpu,FedRolex,iid,1337,9225504568029699488,rpi4,0.25,0.25,0.6238607449425332,207
dj71fc89,FIARSE,iid,1337,16916812644152319820,rpi5,1.0,1.0,0.7293085640350768,206
dj71fc89,FIARSE,iid,1337,13337643131116641220,rpi5,1.0,1.0,0.6784817194967819,206
dj71fc89,FIARSE,iid,1337,14195654361568155457,rpi5,1.0,1.0,0.6118370353040041,206
dj71fc89,FIARSE,iid,1337,588590813117891885,rpi5,1.0,0.5,0.7504422963706046,206
dj71fc89,FIARSE,iid,1337,17600483367468149727,rpi5,1.0,1.0,0.6718309218043691,206
dj71fc89,FIARSE,iid,1337,13031401211652571448,rpi5,1.0,0.5,0.6872854010511225,206
dj71fc89,FIARSE,iid,1337,12026446811771071802,rpi5,1.0,0.5,0.7411050035060667,206
dj71fc89,FIARSE,iid,1337,14933650174087392673,rpi5,1.0,1.0,0.7217330644274389,206
dj71fc89,FIARSE,iid,1337,9736704831165422913,rpi5,1.0,0.5,0.702021601467788,206
dj71fc89,FIARSE,iid,1337,2872803333412677428,rpi5,1.0,0.5,0.7199747165841948,206
dj71fc89,FIARSE,iid,1337,3540749666669106457,rpi4,1.0,0.125,0.740096589584258,206
dj71fc89,FIARSE,iid,1337,2871854738269636270,rpi4,1.0,0.125,0.6865305819758627,207
dj71fc89,FIARSE,iid,1337,1266926582437576522,rpi4,1.0,0.125,0.7316550893873994,207
dj71fc89,FIARSE,iid,1337,7814505249136099393,rpi4,1.0,0.125,0.7269405901502419,207
dj71fc89,FIARSE,iid,1337,8952028840466362455,rpi4,1.0,0.25,0.6844811334505914,206
dj71fc89,FIARSE,iid,1337,10802907509706950473,rpi4,1.0,0.25,0.7457128330783217,207
dj71fc89,FIARSE,iid,1337,15260401423918335693,rpi4,1.0,0.25,0.6454495809203439,207
dj71fc89,FIARSE,iid,1337,5025855269581469582,rpi4,1.0,0.125,0.6758011405668182,207
dj71fc89,FIARSE,iid,1337,15270729085718788600,rpi4,1.0,0.25,0.7155283603633851,207
dj71fc89,FIARSE,iid,1337,15613164666962411689,rpi4,1.0,0.25,0.7301597351785653,207
dj71fc89,FIARSE,iid,1337,12026446811771071802,rpi5,0.5,0.5,0.7412180394644496,206
dj71fc89,FIARSE,iid,1337,14933650174087392673,rpi5,0.5,1.0,0.7243287114418762,206
dj71fc89,FIARSE,iid,1337,13337643131116641220,rpi5,0.5,1.0,0.6786656490746996,206
dj71fc89,FIARSE,iid,1337,13031401211652571448,rpi5,0.5,0.5,0.6876065251903467,206
dj71fc89,FIARSE,iid,1337,16916812644152319820,rpi5,0.5,1.0,0.7353045135163979,206
dj71fc89,FIARSE,iid,1337,9736704831165422913,rpi5,0.5,0.5,0.7038276568361732,206
dj71fc89,FIARSE,iid,1337,588590813117891885,rpi5,0.5,0.5,0.7572485569842945,206
dj71fc89,FIARSE,iid,1337,14195654361568155457,rpi5,0.5,1.0,0.6107572010173257,206
dj71fc89,FIARSE,iid,1337,17600483367468149727,rpi5,0.5,1.0,0.6834529331505894,206
dj71fc89,FIARSE,iid,1337,2872803333412677428,rpi5,0.5,0.5,0.7278223127533345,206
dj71fc89,FIARSE,iid,1337,15270729085718788600,rpi4,0.5,0.25,0.7186638056169348,207
dj71fc89,FIARSE,iid,1337,5025855269581469582,rpi4,0.5,0.125,0.6790282400867134,207
dj71fc89,FIARSE,iid,1337,15260401423918335693,rpi4,0.5,0.25,0.6313482189440371,207
dj71fc89,FIARSE,iid,1337,3540749666669106457,rpi4,0.5,0.125,0.7403091480508408,206
dj71fc89,FIARSE,iid,1337,7814505249136099393,rpi4,0.5,0.125,0.7313719125935565,207
dj71fc89,FIARSE,iid,1337,8952028840466362455,rpi4,0.5,0.25,0.681259706264808,206
dj71fc89,FIARSE,iid,1337,10802907509706950473,rpi4,0.5,0.25,0.7420225074537632,207
dj71fc89,FIARSE,iid,1337,2871854738269636270,rpi4,0.5,0.125,0.6778728077708502,207
dj71fc89,FIARSE,iid,1337,1266926582437576522,rpi4,0.5,0.125,0.7266659649793892,207
dj71fc89,FIARSE,iid,1337,15613164666962411689,rpi4,0.5,0.25,0.7229671150211292,207
dj71fc89,FIARSE,iid,1337,14933650174087392673,rpi5,0.25,1.0,0.7016930509935675,206
dj71fc89,FIARSE,iid,1337,14195654361568155457,rpi5,0.25,1.0,0.5641373978615787,206
dj71fc89,FIARSE,iid,1337,2872803333412677428,rpi5,0.25,0.5,0.7191201465666441,206
dj71fc89,FIARSE,iid,1337,13031401211652571448,rpi5,0.25,0.5,0.6496222015253821,206
dj71fc89,FIARSE,iid,1337,9736704831165422913,rpi5,0.25,0.5,0.6766260696744351,206
dj71fc89,FIARSE,iid,1337,13337643131116641220,rpi5,0.25,1.0,0.6594257092931881,206
dj71fc89,FIARSE,iid,1337,16916812644152319820,rpi5,0.25,1.0,0.7136404595972105,206
dj71fc89,FIARSE,iid,1337,12026446811771071802,rpi5,0.25,0.5,0.7102311128296372,206
dj71fc89,FIARSE,iid,1337,588590813117891885,rpi5,0.25,0.5,0.7417514928584164,206
dj71fc89,FIARSE,iid,1337,17600483367468149727,rpi5,0.25,1.0,0.6516877796314122,206
dj71fc89,FIARSE,iid,1337,8952028840466362455,rpi4,0.25,0.25,0.6396610171931578,206
dj71fc89,FIARSE,iid,1337,10802907509706950473,rpi4,0.25,0.25,0.7051321868714123,207
dj71fc89,FIARSE,iid,1337,3540749666669106457,rpi4,0.25,0.125,0.7049681006246189,206
dj71fc89,FIARSE,iid,1337,7814505249136099393,rpi4,0.25,0.125,0.7022306800004953,207
dj71fc89,FIARSE,iid,1337,2871854738269636270,rpi4,0.25,0.125,0.653583314900561,207
dj71fc89,FIARSE,iid,1337,1266926582437576522,rpi4,0.25,0.125,0.683475890480524,207
dj71fc89,FIARSE,iid,1337,15260401423918335693,rpi4,0.25,0.25,0.6010483376237681,207
dj71fc89,FIARSE,iid,1337,5025855269581469582,rpi4,0.25,0.125,0.6643788780484055,207
dj71fc89,FIARSE,iid,1337,15270729085718788600,rpi4,0.25,0.25,0.6993253447444858,207
dj71fc89,FIARSE,iid,1337,15613164666962411689,rpi4,0.25,0.25,0.6915970465980741,207
dj71fc89,FIARSE,iid,1337,14195654361568155457,rpi5,0.125,1.0,0.570543350935997,206
dj71fc89,FIARSE,iid,1337,16916812644152319820,rpi5,0.125,1.0,0.7041053735129694,206
dj71fc89,FIARSE,iid,1337,14933650174087392673,rpi5,0.125,1.0,0.6905654002418222,206
dj71fc89,FIARSE,iid,1337,2872803333412677428,rpi5,0.125,0.5,0.6923609960066159,206
dj71fc89,FIARSE,iid,1337,13031401211652571448,rpi5,0.125,0.5,0.64719261214959,206
dj71fc89,FIARSE,iid,1337,17600483367468149727,rpi5,0.125,1.0,0.6359434931284658,206
dj71fc89,FIARSE,iid,1337,12026446811771071802,rpi5,0.125,0.5,0.6938385411299761,206
dj71fc89,FIARSE,iid,1337,9736704831165422913,rpi5,0.125,0.5,0.665396601638387,206
dj71fc89,FIARSE,iid,1337,588590813117891885,rpi5,0.125,0.5,0.7257061781424636,206
dj71fc89,FIARSE,iid,1337,13337643131116641220,rpi5,0.125,1.0,0.6392952772991984,206
dj71fc89,FIARSE,iid,1337,2871854738269636270,rpi4,0.125,0.125,0.6439276990153529,207
dj71fc89,FIARSE,iid,1337,5025855269581469582,rpi4,0.125,0.125,0.6384606309898533,207
dj71fc89,FIARSE,iid,1337,1266926582437576522,rpi4,0.125,0.125,0.66961131931049,207
dj71fc89,FIARSE,iid,1337,15260401423918335693,rpi4,0.125,0.25,0.5925161145392313,207
dj71fc89,FIARSE,iid,1337,7814505249136099393,rpi4,0.125,0.125,0.6897747144479702,207
dj71fc89,FIARSE,iid,1337,8952028840466362455,rpi4,0.125,0.25,0.631949163736117,206
dj71fc89,FIARSE,iid,1337,15270729085718788600,rpi4,0.125,0.25,0.6815602656999044,207
dj71fc89,FIARSE,iid,1337,3540749666669106457,rpi4,0.125,0.125,0.7016525721785221,206
dj71fc89,FIARSE,iid,1337,10802907509706950473,rpi4,0.125,0.25,0.7093764049901047,207
dj71fc89,FIARSE,iid,1337,15613164666962411689,rpi4,0.125,0.25,0.6970441565734353,207
xvv42lhp,HeteroFL,iid,1338,8098981719364606709,rpi5,0.125,0.5,0.41088414595060296,206
xvv42lhp,HeteroFL,iid,1338,1493170225786747861,rpi5,0.125,0.5,0.43320912649680066,206
xvv42lhp,HeteroFL,iid,1338,2402715516091620541,rpi5,0.125,0.5,0.4836929128840327,206
xvv42lhp,HeteroFL,iid,1338,16520854827561377217,rpi5,0.125,1.0,0.5015125964200933,206
xvv42lhp,HeteroFL,iid,1338,18410294882312310369,rpi5,0.125,1.0,0.5623845713231017,206
xvv42lhp,HeteroFL,iid,1338,9558115067875728311,rpi5,0.125,0.5,0.5144383486892832,206
xvv42lhp,HeteroFL,iid,1338,17214466879741032077,rpi5,0.125,1.0,0.5056685344265406,206
xvv42lhp,HeteroFL,iid,1338,3039931124396306255,rpi5,0.125,0.5,0.4471885820641668,206
xvv42lhp,HeteroFL,iid,1338,14881953353108016374,rpi5,0.125,1.0,0.44873892511013214,206
xvv42lhp,HeteroFL,iid,1338,9996374157720429235,rpi5,0.125,1.0,0.5851363499251357,206
xvv42lhp,HeteroFL,iid,1338,16521156901239322224,rpi4,0.125,0.25,0.48346543718177093,207
xvv42lhp,HeteroFL,iid,1338,14993425885101643803,rpi4,0.125,0.25,0.40936332546335974,207
xvv42lhp,HeteroFL,iid,1338,16373505823272859699,rpi4,0.125,0.25,0.4669167960520322,207
xvv42lhp,HeteroFL,iid,1338,8494447233885490490,rpi4,0.125,0.125,0.5286236655943947,207
xvv42lhp,HeteroFL,iid,1338,13854087717284424688,rpi4,0.125,0.125,0.45836096629191025,206
xvv42lhp,HeteroFL,iid,1338,1971747699395465136,rpi4,0.125,0.125,0.517534992542323,207
xvv42lhp,HeteroFL,iid,1338,7747904431682427280,rpi4,0.125,0.125,0.4824193168772043,207
xvv42lhp,HeteroFL,iid,1338,14097079826498130463,rpi4,0.125,0.25,0.43996134542584964,207
xvv42lhp,HeteroFL,iid,1338,9432865305916420244,rpi4,0.125,0.125,0.5239073917828523,206
xvv42lhp,HeteroFL,iid,1338,14464596035987841686,rpi4,0.125,0.25,0.4967098750323229,207
xvv42lhp,HeteroFL,iid,1338,16520854827561377217,rpi5,0.25,1.0,0.659485975113429,206
xvv42lhp,HeteroFL,iid,1338,9996374157720429235,rpi5,0.25,1.0,0.7584048093796839,206
xvv42lhp,HeteroFL,iid,1338,17214466879741032077,rpi5,0.25,1.0,0.6651573122765536,206
xvv42lhp,HeteroFL,iid,1338,14881953353108016374,rpi5,0.25,1.0,0.5302167400881057,206
xvv42lhp,HeteroFL,iid,1338,3039931124396306255,rpi5,0.25,0.5,0.6344100962442065,206
xvv42lhp,HeteroFL,iid,1338,9558115067875728311,rpi5,0.25,0.5,0.650767162258222,206
